Ano,Empresa,Capital,Trabalho,Producao
1977,3334,6433.79999997327,7.34618722579263,34.1357313522494
1978,3334,6376.20000002101,8.01823156310105,31.5950184108726
1979,3334,6318.69999999996,8.80758788340629,33.5273334450822
1980,3334,6287.40000000659,9.04648220702645,37.7251769656017
1981,3334,6418.00000000127,8.2868842345933,29.2012239146177
1982,3334,6517.39999997743,6.14756535357023,13.2750416194735
1983,3334,6564.00000000012,5.95893225385581,17.6492534126839
1984,3334,6536.40000001549,6.31681572868121,18.7050285243965
1985,3334,6445.59999998076,5.18344805593492,9.23314843588245
1986,3334,6107.60000000393,4.17744438173091,10.3395868215422
1987,3334,5670.89999997602,4.20499999997935,19.0009999999925
1988,3334,5268.5000000022,4.88408559583683,35.4323484927637
1989,3334,4912.19999999776,4.99308613803937,27.3082686821113
1990,3334,4613.80000001391,5.03504007860582,19.7743668044789
1991,3334,4367.39999999009,5.0050525625999,14.2719701076462
1992,3334,4155.39999999715,5.13273659994329,13.5966420579275
1993,3334,3931.59999999027,4.43089677539743,9.46390722281772
1994,3334,3699.299999983,4.17237644853877,14.497473008457
1958,3339,118.999999999818,0.383624797781432,1.81056563438999
1959,3339,121.299999999999,0.421870772394655,1.93209723491725
1960,3339,163.800000000169,0.685138801260596,3.14604551600891
1961,3339,199.600000000526,0.639625027858792,2.84892444841132
1962,3339,240.299999999418,0.75717203473598,3.18557964163517
1963,3339,263.100000000987,0.833098054137495,3.50103554733004
1964,3339,275.600000000137,0.751082047986543,3.1139994644487
1965,3339,302.700000000704,0.962456887488345,3.29192881178056
1966,3339,364.599999998336,1.17675495808404,4.10754089143692
1967,3339,467.199999998123,1.17228153510669,4.28605821104124
1968,3339,514.700000000664,1.2272731767602,4.41641333077846
1969,3339,578.299999997587,1.32980889815214,4.67541690829768
1970,3339,649.400000000814,1.27599638647571,4.69022102728215
1971,3339,692.399999998578,1.20478397640813,4.41499950849608
1972,3339,757.599999998584,1.03374571742797,3.69369047617016
1973,3339,780.199999998006,1.13119270833299,4.51784516367374
1974,3339,861.399999999992,1.61583516483369,7.01818838304578
1975,3339,1298.20000000082,1.62024935973616,10.6052685364582
1976,3339,1482.6999999941,1.98973314025745,8.47974750282288
1977,3339,1646.00000000491,1.6388046098303,7.40133101916024
1978,3339,1703.40000000514,1.79416580230148,7.41963992326564
1979,3339,1697.79999999343,1.82476829209988,7.57078398813358
1980,3339,1738.0000000081,1.94989560872991,8.54201130688824
1981,3339,1787.00000000102,1.73871591774686,7.14763975625992
1982,3339,1757.79999999904,1.80645464493183,6.80552226246029
1983,3339,1812.70000000204,1.61195312953842,8.27153866542446
1984,3339,1742.30000000199,1.72227432451403,5.84443910123693
1985,3339,1765.00000000459,1.78115233765401,3.42124414740007
1986,3339,1862.60000000455,1.43573902074648,4.68623568466226
1987,3339,1802.30000000224,1.65100000000002,5.06800000000561
1988,3339,1717.00000000433,1.72442071630585,8.96350600041311
1989,3339,1650.60000000234,1.81558300056745,9.4272447233451
1990,3339,1597.69999999437,1.86303655329709,7.9291122605261
1991,3339,1532.29999999367,1.72343382967354,6.7085873068763
1992,3339,1492.40000000447,1.51946571389239,5.4182170954124
1993,3339,1436.90000000695,1.40878102984981,5.03630970039666
1994,3339,1382.40000000029,1.33558060988077,5.34717028200829
1958,3341,627.699999997812,1.68149560896827,5.2811152068272
1959,3341,630.800000000704,1.98172909049339,5.90973594604701
1960,3341,640.200000002713,2.07289443442783,5.85514026587704
1961,3341,666.200000000281,2.17126766213714,6.25103811008982
1962,3341,678.499999996659,2.20330240738637,6.44278366491732
1963,3341,713.099999996964,2.04058430264475,7.69688161756996
1964,3341,741.199999999107,2.32636032562176,8.82687574983255
1965,3341,802.300000000313,2.21854468980357,7.83342029445366
1966,3341,862.899999996323,2.35985360866531,9.30302504597573
1967,3341,904.699999998466,2.41225386751683,8.34442919478698
1968,3341,978.399999997101,2.57550356565472,9.0511396785985
1969,3341,1053.80000000507,2.65680636099947,10.2476816781407
1970,3341,1134.79999999467,2.37847861997794,8.73710496427535
1971,3341,1152.49999999907,2.22402105349705,7.1575351847093
1972,3341,1190.00000000527,2.63800204306024,10.0180687568212
1973,3341,1210.09999999515,2.60636034226115,12.8286487351505
1974,3341,1257.59999999379,2.95001098900137,21.5861177393631
1975,3341,1318.40000000632,2.50595983509393,11.1537500780514
1976,3341,1466.00000000499,2.70310290206479,11.59913558719
1977,3341,1600.09999999227,2.92434429326352,13.2569125798293
1978,3341,1710.1000000017,3.03962260138396,12.5865156104654
1979,3341,1773.49999999348,3.79355816623457,16.2016856008377
1980,3341,1868.10000000651,3.29061880971431,14.3672224559168
1981,3341,2007.4000000006,3.37669078445101,11.3265277988958
1982,3341,2087.60000000155,2.88470787109369,7.25625786734615
1983,3341,2066.30000000091,2.59196656259135,9.38447346063242
1984,3341,2102.29999999773,2.76041698166229,10.2131084628814
1985,3341,2123.70000000371,2.37802785505973,8.2383559068852
1986,3341,2094.6999999964,2.16287800829805,8.58250592527671
1987,3341,2062.59999999594,1.86099999999979,9.47299999996782
1988,3341,2032.10000000834,2.0493816589184,11.4152202549864
1989,3341,2040.40000000251,2.2971922418679,12.6103371363014
1990,3341,2040.20000000323,2.21179556158955,9.92932138010831
1991,3341,2005.20000000131,1.97952640677334,7.05119764648198
1992,3341,2049.89999999007,2.13181293044248,10.7494386552072
1993,3341,2047.20000000905,2.09832490628789,11.7123481404043
1994,3341,2034.00000000304,2.33262021822512,15.7950788520898
1958,3351,1406.50000000012,5.93005061241236,15.968830367504
1959,3351,1464.90000000626,7.05481375684468,19.6364891454146
1960,3351,1495.70000000706,5.77823693103091,15.8176177331133
1961,3351,1519.20000000292,6.05396445289597,16.3709432806044
1962,3351,1580.7999999943,6.55533626468335,16.2587346378328
1963,3351,1650.1999999996,6.75247896508615,16.1357938906713
1964,3351,1729.59999999145,6.99237446446686,17.4776127892429
1965,3351,1849.60000000359,7.14175636173739,20.1430807571494
1966,3351,1976.89999999626,7.74247669189523,28.4800074625079
1967,3351,2117.70000000098,6.7383111860541,21.6733625544756
1968,3351,2244.89999999007,6.94176390604226,22.1705719311188
1969,3351,2315.30000000659,7.52340086991266,22.497105291665
1970,3351,2492.00000000662,6.54014884281276,18.4325419426177
1971,3351,2528.79999999644,6.32638674529387,17.3778650774361
1972,3351,2498.80000000146,7.03142134215622,19.5119504164882
1973,3351,2534.39999999973,7.63208794643928,23.595756473292
1974,3351,2611.59999999353,6.88900627945685,21.181629513295
1975,3351,2593.19999999782,5.2328627646996,13.4058191642569
1976,3351,2571.00000001057,6.1709235179705,17.9534446480194
1977,3351,2575.30000001019,5.83662588170207,16.7792223826623
